,Location,Temperature [°C],Humidity [%],Cloudiness[%],WIndspeed [kph],Latitude,Longitude
449,Novyy Karanlug,5.0,100,90,3.09,39.7955,47.1099
450,Tichigan,6.1,93,90,3.64,42.8289,-88.1976
451,Soledade,16.65,98,100,1.47,-28.8183,-52.5103
452,Cuerámaro,28.0,9,75,2.51,20.6167,-101.7167
453,Johnstown,11.96,58,1,4.12,40.3267,-78.922
454,Rhinebeck,8.39,67,40,0.64,41.9268,-73.9126
455,Sena Madureira,23.32,91,95,0.65,-9.0656,-68.6569
456,Pestovo,0.18,90,100,0.95,58.5938,35.8024
457,Natitingou,24.43,18,1,0.65,10.3042,1.3796
458,Grad,8.13,88,100,1.55,46.8,16.1
459,Rocafuerte,26.0,78,0,0.51,-0.9167,-80.4333
460,Gardnerville Ranchos,12.78,14,1,4.12,38.8882,-119.7413
461,Arrondissement de Boulogne-sur-Mer,7.79,71,90,3.6,50.75,1.8333
462,Bristol,6.32,70,1,3.09,41.8334,-71.1662
463,Lake Fenton,11.36,62,20,3.6,42.8461,-83.7077
464,Broad Brook,9.53,62,20,1.36,41.9123,-72.5451
465,Bègles,4.75,93,0,2.07,44.8084,-0.5481
466,Ottawa,3.13,75,75,3.09,45.4112,-75.6981
467,Bloomington,2.61,81,90,6.17,44.8408,-93.2983
468,Solihull,8.48,81,75,6.69,52.4143,-1.7809
